analyse,分析
approach,途径
area,区域
assess,评估
assume,假设
authority,权威
available,可用的
benefit,得益
concept,概念
consist,由
constitute,构成
context,上下文
contract,合同
create,创建
data,数据
define,确定
derive,派生
distribute,分配
economy,经济
environment,环境
establish,建立
estimate,估计
evident,明显
export,出口
factor,因素
finance,金融
formula,公式
function,功能
identify,鉴定
income,收入
indicate,表明
individual,个人
interpret,阐释
involve,涉及
issue,问题
labour,劳动
legal,法律
legislate,立法
major,主要
method,方法
occur,发生
percent,百分之
period,期间
policy,政策
principle,原则
proceed,继续
process,过程
require,要求
research,研究
respond,响应
role,角色
section,部分
sector,扇形
significant,显著
similar,类似
source,源
specific,具体
structure,结构
theory,理论
vary,变化
