community	社區
resident	居民
range	範圍
construction	施工
strategies	策略
elements	分子
previous 	前
conclusion	結論
security	安全
aspects	方面
acquisition	獲得
features	產品 
text	文本
commission 	佣金
regulations	法規
computer	計算 
items	項目
consumer	消費 
achieve	實現
final	最後
positive	積極
evaluation	評估
assistance	援助
normal	正常
relevant	相應
distinction	分別
region	區域
traditional	傳統
impact	碰撞
consequences	後果
chapter	章
equation	方程
appropriate	適當
resources	資源
participation	參與
survey	調查
potential	潛力
cultural	文化
transfer	轉讓
select 	選擇
credit	信貸
affect	影響
categories	類別
perceived	感知
sought	尋找
focus	焦點
purchase	購買
injury	傷
site	現場
journal	刊物
primary	主
complex	复
institute	研究 
investment	投資
administration	管理
maintenance	保養
design	設計
obtained	獲得
restricted	受限
conduct 	行為
